 [00:55:17]  Set Debug : True.
 [01:45:37]  INP: S 5, D 8, Dp 33, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:38]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:40]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:41]  OUT: S 8, D 5, Dp 9, Sp 60, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:41]  INP: S 5, D 8, Dp 60, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:42]  OUT: S 8, D 5, Dp 9, Sp 48, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:44]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:44]  INP: S 5, D 8, Dp 35, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:45]  OUT: S 8, D 5, Dp 9, Sp 55, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:46]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:48]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:48]  INP: S 5, D 8, Dp 63, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:49]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:49]  INP: S 5, D 8, Dp 50, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:50]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:51]  INP: S 5, D 8, Dp 38, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:51]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
